Year,index_nsa,Housing_Price,"City,.State",Population,Violent.Crimes,Homicides,Rapes,Robberies
1979,49.415,4941500,"Albuquerque, NM",302120,2679,47,215,815
1979,50.84,5084000,"Atlanta, GA",423103,10715,231,656,5189
1979,55.4475,5544750,"Austin, TX",337727,1495,43,216,577
1979,46.07,4607000,"Baltimore, MD",790901,15523,245,564,8482
1979,32.59,3259000,"Boston, MA",599582,11392,92,464,6600
1979,48.705,4870500,"Buffalo, NY",383915,3857,52,265,1958
1979,49.3475,4934750,"Charlotte, NC",300569,2485,50,115,703
1979,46.3275,4632750,"Chicago, IL",3060801,27807,856,1655,14464
1979,57.24,5724000,"Cincinnati, OH",404661,3808,50,282,1662
1979,56.8775,5687750,"Cleveland, OH",601381,9736,274,612,5760
1979,51.9975,5199750,"Columbus, OH",534052,4242,69,423,2445
1979,68.0825,6808250,"Dallas, TX",882225,11453,307,983,4456
1979,53.76,5376000,"Aurora, CO",134224,1033,9,78,351
1979,53.76,5376000,"Denver, CO",486407,5118,66,626,2257
1979,55.5925,5559250,"Detroit, MI",1258924,21021,452,1369,11413
1979,70.145,7014500,"Arlington, TX",130265,626,11,52,190
1979,64.4725,6447250,"Fresno, CA",194849,1976,43,148,1009
1979,31.015,3101500,"Honolulu, HI",734368,2196,48,223,1568
1979,83.0125,8301250,"Houston, TX",1619644,14216,654,1481,9311
1979,53.6475,5364750,"Indianapolis, IN",513877,4178,92,439,2053
1979,54.94,5494000,"Jacksonville, FL",546419,4903,73,372,1555
1979,55.7175,5571750,"Memphis, TN",682110,5785,103,704,3300
1979,51.83,5183000,"Miami, FL",362840,6825,134,261,3390
1979,56.6125,5661250,"Milwaukee, WI",645097,3039,63,283,1592
1979,57.5325,5753250,"Minneapolis, MN",363899,3899,30,327,1988
1979,50.995,5099500,"Nashville, TN",444443,3251,89,266,1716
1979,37.4525,3745250,"Newark, NJ",315818,9647,129,417,6100
1979,41.19,4119000,"Oakland, CA",344686,6064,106,373,3072
1979,58.7025,5870250,"Omaha, NE",370326,2017,40,193,954
1979,54.4375,5443750,"Orlando, FL",121515,1726,17,133,496
1979,42.49,4249000,"Philadelphia, PA",1757368,14537,385,838,8838
1979,62.4425,6244250,"Mesa, AZ",115498,755,2,53,153
1979,62.4425,6244250,"Phoenix, AZ",718216,5803,91,477,2337
1979,58.18,5818000,"Pittsburgh, PA",439407,4649,68,263,2752
1979,49.3775,4937750,"Portland, OR",406525,4558,39,435,1787
1979,46.4225,4642250,"Raleigh, NC",140285,804,17,46,202
