Global,NA,Europe,Japan,Global_DS,NA_DS,Europe_DS,Japan_DS,Global_Wii,NA_Wii,Europe_Wii,Japan_Wii
1.17,0.42,0.15,0.54,1.17,0.42,0.15,0.54,0,0,0,0
82.87,25.48,28.36,22.22,82.87,25.48,28.36,22.22,0,0,0,0
175.43,82.14,54.17,22.53,51.14,20.55,12.41,13.99,124.29,61.59,41.76,8.54
92.49,39.39,29.7,15.47,30.52,11.35,9.54,7.03,61.97,28.04,20.16,8.44
82.63,35.88,22.74,17.28,24.51,8.93,5.2,8.76,58.12,26.95,17.54,8.52
103.35,45.22,30.84,18.99,14.4,3.33,3.61,6.57,88.95,41.89,27.23,12.42
37.81,15.08,11.33,8.66,10.12,3.74,2.59,3.15,27.69,11.34,8.74,5.51
37.01,15.99,10.43,7.94,27.98,12.06,8.06,5.9,9.03,3.93,2.37,2.04
44.63,16.89,11.59,13.62,30.92,10.55,7.93,10.8,13.71,6.34,3.66,2.82
23.05,9.1,7.13,5.36,11.28,3.99,3.72,2.9,11.77,5.11,3.41,2.46
21.41,7.8,5.73,6.58,8.85,2.18,1.78,4.52,12.56,5.62,3.95,2.06
21.42,7.95,6.17,5.97,8.61,2.98,2.41,2.71,12.81,4.97,3.76,3.26
3.21,1.33,0.84,0.84,1.39,0.4,0.29,0.64,1.82,0.93,0.55,0.2
